_PY	_PYaltFULL1	_PYaltFULL2	_PYaltFULL3
shuǎ shǒuduàn			
shuǎ liúmáng			
shuǎhuá			
shuǎ huátóu			
shuǎlài			
wénguò zé xǐ			
shēngtǎo			
tīngcóng			
tīnghuà			
sì wú jìdàn			
bèixìn			
bèixìn qìyì			
bèishuǐ yí zhàn 			
húzuò fēiwéi			
húchě			
húyán luànyǔ			
húshuō			
húshuō bādào			
húnào			
xiōng yǒu chéngfǔ			
xiépò			
cuìruò			
tuōyǐng ér chū			
fǔbài			
jiǎo tà liǎngzhī chuán			
dǎndà bāotiān			
dǎndà wàngwéi			
dǎndà xīnxì			
dǎnzi			
dǎnxiǎo pàshì			
dǎnxiǎo guǐ			
dǎnshí	dǎnshì		
dǎnliàng			
nóngbāo			
zāngpǐ			
línwēi bújù	línwéi bújù		
línjī yìngbiàn			
zì búliàng lì			
zìlì gēngshēng			
zìbēi			
zìbēi gǎn			
zìchuī zìléi			
zìdà			
zìqiáng			
zìwǒ pīpíng			
zì qī qīrén			
zìmǎn			
zìrán			
zìlì			
zìxíng qíshì			
zìkuā			
zìzé			
zìmài zìkuā			
zìshí qílì			
zìgāo zìdà			
chòu lǎojiǔ			
chòuqián			
zhì sǐ bùqū			
zhì sǐ búwù			
yǔ shì fúchén			
yǔ shì wúzhēng			
yǔ rén wúzhēng			
yǔ zhòng bùtóng			
xīngfēng zuòlàng			
jiùdiào chóng tán			
shějǐ jiùrén			
liángxīn qiúfàn			
jiānkǔ fèndòu			
sèlì nèirěn			
huāzhāo			
huāyán qiǎoyǔ			
huābiān xīnwén			
kēzé			
gǒuqiě tōu’ān			
gǒuqiě tōushēng			
kǔshuǐ			
yīngyǒng			
yīngyǒng juélún			
yīngmíng			
yīngxióng			
cǎojiān rénmìng			
huāngtáng			
huāngdàn			
huāngmiù			
túdú			
wànfū mòdāng			
wàn’è			
luòhòu			
luòshuǐ gǒu			
luòjǐng xiàshí			
Yègōng hàolóng	Shègōng hàolóng		
méngmèi			
méngmèi wúzhī			
mēngpiàn			
bóruò			
cángnì			
yì gāorén dǎndà			
xūjiǎ			
xūwěi			
xūyìng gùshì			
xūhuái ruò gǔ			
xūyǒu qíbiǎo			
xūróng			
xūgòu			
gǔhuò			
mánhèng			
mánhèng wúlǐ			
xuèkǒu pēnrén	xiěkǒu pēnrén		
xíngshì guāngmíng			
xíngpiàn			
biǎo lǐ yízhì			
biǎo lǐ bùyī			
biǎolǐ rúyī			
tǎnhù			
bèidòng			
bǔjiù			
zhuāngmú zuòyàng	zhuāngmó zuòyàng		
zhuānglóng zuòyǎ			
guǒxié			
guǒxié			
bāoyáng			
yāoxié			
yàofàn			
jiànbude rén			
jiànlì wàngyì			
jiànfèng chāzhēn			
jiànguo shìmian			
jiànqián yǎn kāi			
jiànfēng shǐduò			
jiànfēng zhuǎnduò			
shìsǐ rúguī			
jiěgù			
chùfàn			
chùfàn zhòngnù			
yán bùjí yì			
yán bùyóu zhōng			
yántīng jìcóng			
yánxíng yízhì			
yánxíng bùyī			
jìjiào			
tǎohǎo			
jìchóu			
jìhèn			
sùkǔ			
dǐhuǐ			
zhàqǔ			
zhàqī			
zhàpiàn			
zhàpiàn fàn			
zhàpiàn jítuán			
gòubìng			
guǐjì duōduān			
guǐzhà			
kuā			
kuākǒu			
kuā hǎikǒu			
kuājiǎng			
kuāyào			
kuākuā qítán			
rènzhēn			
rènzuì			
rènshū			
rèncuò			
yòuhuò			
yòuguǎi			
chéngxīn			
chéngkěn			
wūhài			
wūmiè			
wūlài			
wūxiàn			
shuōsān dàosì			
shuō dàhuà			
shuōpò			
shuō kōnghuà			
shuōchuān			
shuōhuǎng			
shuōcháng dàoduǎn			
fěibàng			
chǎnmèi			
chǎnyú			
tánxīn			
yúcí			
huìjí jìyī			
huǎngbào			
huǎngyán			
huǎnghuà			
jiǎng yìqi			
ōugē			
jǐnxiǎo shènwēi	jǐnxiǎo shènwéi		
jǐnshèn			
qiǎnzé			
dúshū rén			
biànjié			
chányán			
ràng … xiàbuliǎo tái			
Zhū Bājiè dàodǎ yì pá			
fùzé			
fùmiàn			
cái mí xīnqiào			
cáifá			
tān			
tānlán			
tānguān			
tānguān wūlì			
tān dé wúyàn			
tānxīn			
tānxīn bùzú			
tānyù			
tānwū fàn			
tānshēng pàsǐ			
zébèi			
zéguài			
zénàn			
èrchén			
guìzú			
zīgé			
màiguó zéi			
dǔtú			
zàn bùjué kǒu			
zànyáng			
zànměi			
zànyù			
zànshǎng			
chìdǎn zhōngxīn			
chìluǒluǒ			
zǒuzú			
zǒugǒu			
zǒusī fàn			
zǒuzī pài			
fùtāng dǎohuǒ			
qǐsǐ huíshēng			
chèn huǒ dǎjié			
yuèyù			
gǎnjìn shājué			
qūyán fùshì			
zhǐgāo qìyáng			
báhù			
gēnzōng			
tiàoliáng xiǎochǒu			
jiàntà			
shēnxiān shìzú			
duǒbì			
jūnfá			
ruǎnruò			
ruǎn gǔtou	ruǎn gǔtóu		
qīngmàn			
qīngshuài			
qīngjǔ wàngdòng			
zhuǎnwān mòjiǎo			
biànbié			
biànmíng			
cíguān			
cídiào			
cízhí			
rǔmò			
yínghé			
jìnqīn fánzhí			
pòshǐ			
táowáng			
táofàn			
táobì			
táonàn			
nìchén			
nìzéi			
tōngquán dábiàn			
zàojiǎ			
zàoyáo			
zàoyáo zhòngshāng			
féngyíng			
jìnqǔ			
jìnqǔ xīn			
jìnqǔ jīngshen	jìnqǔ jīngshén		
jìnbù			
jìnbù rénshì			
bīpò			
guòhé chāiqiáo			
guòjiē lǎoshǔ			
dàodé yōuyuè gǎn			
wéifǎn			
wéikàng			
wéibèi			
dìchū cíchéng			
yuǎnjiàn			
zhē rén ěrmù			
zhēyǎn			
zhēzhē yǎnyǎn			
bì fēngtou	bì fēngtóu		
yāogōng			
huán … qīngbái			
xié’è			
xiāngyuàn			
kùlì			
zuìwēng zhī yì búzài jiǔ 			
chǒuhuà			
chǒu biǎogōng			
zhòngfù qīpín			
yěxīn			
yěxīn bóbó			
yěxīn jiā			
yěmán			
jīnguāng dǎng			
ruìyì jìnqǔ			
ruìqì			
tǐng ér zǒuxiǎn			
pūzhāng			
pūzhāng làngfèi			
zīzhū bì jiào			
cuòguài			
tiěshí xīncháng			
tiěmiàn wúsī			
zuānyíng			
ménwài hàn			
shǎnshuò qící			
shǎnduǒ			
shǎnbì			
bìguān zì shǒu			
kāipào			
kāituō			
kāimén jiànshān			
kāichú			
guānshuō			
ēyú			
ēyú zhī cí			
ēyú fèngcheng	ēyú fèngchéng		
yīndú			
yīnmóu guǐjì			
yīnxiǎn			
yīnxiǎn dúlà			
chénchén xiāng yīn			
xiànrén yúzuì			
xiànhài			
yáng yítào, yīn yítào			
yángfèng yīnwéi			
jiēxià qiú			
suí dàliú			
suí dàliù	suí dàliū		
suíjī yìngbiàn			
suí bō zhúliú			
suífēng zhuǎnduò			
xiǎnzhà			
yǐnnì			
yǐn’è yángshàn			
yǐnmán			
xióngxīn			
jīmíng gǒudào zhī tú			
lípǔ			
líjiàn			
nànmín			
xuěchǐ			
líng hé yóuxì			
bàdào			
fēiyì			
kàobuzhù			
kàoshan			
kàodezhù			
gémìng qīngnián			
shùncóng			
shùnmín			
yízhǐ qìshǐ			
diāndǎo shìfēi			
diāndǎo hēibái			
mānhān	mánhān		
mānhān wúnéng			
fēngpài			
fēihuáng téngdá			
shígǔ búhuà			
shíyán			
shíyán ér féi			
yǐnzhèn zhǐkě			
sōu zhǔyì			
shǒu’è			
xiāngbōbo			
mǎpì pāidào mǎtuǐ shang			
mǎpì jīng			
xùnfú	xúnfú		
bóchì			
piàn			
piànqǔ			
piànchī piànhē			
piànzi			
piànjú			
piàncái			
piàncái piànsè			
sāorǎo			
qūshǐ			
qūdòng lì			
jiāo’ào			
jiāo’ào zìmǎn			
jiāoshē yínyì			
jiāomàn			
jiāohèng			
jiāoqì			
jiāojīn			
jiāozòng			
gǔgěng zhī chén			
tǐmiàn			
tǐyàn			
gāoshàng			
gāotú			
gāomíng			
gāozhān yuǎnzhǔ			
gāoguì			
gāofēng liàngjié			
dòuzhēng			
dòuzhēng dàhuì			
dòuzhēng huì			
dòuchòu			
nào			
nàoshì			
nàojù			
guǐhuà			
guǐhuà liánpiān			
pòlì			
yúròu			
lǔmǎng			
niǎojìn gōngcáng			
péngchéng wànlǐ			
hèlì jīqún			
yīngquǎn			
máli			
mámù bùrén			
huángniú			
hēi wǔlèi			
hēishǒu dǎng			
hēi shèhuì			
hēijīn			
mòqì			
dǎngtóng fáyì			
dǎngyǔ			
gǔjìn			
lìyòu			
hǔ			
guānshāng gōujié			
bàodá			
bào’ēn			
xǐxuě			
xiàng bì xūgòu			
píng kōng niēzào			
chún shǔ xūgòu			
gùzuò 			
yǎnhóng			
jìdu			
xiànmù			
xīnshǎng			
fā píqi			
bórán dànù			
déle piányi yòu màiguāi			
dé piányi			
wěiqu	wěiqū		
zhì yú búyì zhī dì			
yángméi tǔqì			
àohuǐ			
huǐguò shū			
xiě jiǎnchá			
chànhuǐ			
mǎnfù láosāo			
chǒuwén			
fàng gāolì dài			
héngshēng zhījié			
chàng báiliǎn			
bàn báiliǎn			
chàng hóngliǎn			
bàn hóngliǎn			
bàn hēiliǎn			
lǐngjiào			
hùnxiáo shìtīng	hùnyáo shìtīng		
hùnong	húnòng		
chídāo xíngxiōng			
qiūhòu suànzhàng			
suànzhàng			
jiǎotà liǎngtiáo chuán			
huì dǎ suànpán			
pánsuan	pánsuàn		
qīngsuàn			
dà fā yínwēi			
pīdòu huì			
fán			
jiānzi			
wēijī sì fú	wéijī sì fú		
tiānxià wúdí			
gān dǎléi, bú xiàyǔ			
réncái jǐjǐ			
réncái huìcuì			
nǐzhuī wǒgǎn			
tóngshì cāogē			
lǚjiàn bùxiān			
gōngchéng hàodà			
jiānkǔ			
xióngxīn bóbó			
sǐhuī fù rán			
qīngchǎn hézī			
wúzhōng shēngyǒu			
tòngxīn jíshǒu			
shèngkuàng kōngqián			
xiāng chà xuánshū			
mùlín yǒuhǎo			
jīnggēng xìzuò			
yuēfǎ sān zhāng			
tǒngchóu jiāngù			
gāndǎn xiāngzhào			
zìqiáng bùxī			
huāyàng fānxīn			
wànzhòng yìxīn			
yìlùn fēnfēn			
pínfù xuánshū			
chángqī gòngcún	chángqí gòngcún		
chángzú jìnbù			
fēngqǐ yúnyǒng			
rénxīn huánghuáng			
shǔdiǎn wàngzǔ			
wàngběn			
chóngyáng mèiwài			
biǎozhōng			
gǒu núcai	gǒu núcái		
tǎo huānxīn			
diǎntóu hāyāo			
jūgōng hāyāo	júgōng hāyāo		
huàzhōng huà			
dá fēi suǒwèn			
fēngbì			
wèi guó juānqū			
qìtóu shang	qìtóu shàng		
xīnfù dà huàn			
jiǎoróu zàozuò			
jiǎoróu zuòzuo			
fēngsuǒ			
chīdekāi			
chībukāi			
rénmài			
zuǒyòu féngyuán			
běnqián			
bǎipǔ			
xuànyào			
xiǎnhè			
bùshí hǎodǎi	búshì hǎodǎi		
shìjiā			
bùzhī hǎodǎi			
chángxiù shàn wǔ			
ménlu	ménlù		
zǒu ménlù			
zǒutóu wúlù			
chībiě			
pèngbì			
dǎtōng guānjié			
táigāo			
biǎndī			
fāngjiā			
táiju			
táotài			
zérèn zhě			
ānjū lèyè 			
zhàngshì qīrén			
bùkě fēn’gē			
bùkě huò quē			
yǐ quán móusī			
gōng búyìng qiú			
yōushèng liètài			
huà gān’gē wéi yùbó			
qiānjūn yífà	qiānjūn yìfǎ		
fǎnfǔ chànglián			
tóngxīn tóngdé			
míng liè bǎngshǒu			
túnjī jūqí			
tuánjié yízhì			
āndìng tuánjié 			
jiāyù hùxiǎo			
yǐ chéng dìngjú			
détiān dú hòu			
bì bùkě shǎo			
yùyǎn yùliè			
niǔkuī wéiyíng			
zhuājǐn zhuāhǎo			
zhènxīng zhōnghuá			
shànlí zhíshǒu			
chǎngkāi gōngyìng			
shù yǐqiān jì			
shù yǐwàn jì			
fāngxīng wèi’ài			
yǒusuǒ bùtóng			
yǒumù gòngdǔ			
biāoběn jiānzhì			
qiútóng cúnyì			
yuányuǎn liúcháng			
wèi rénmín fúwù			
wèi guó zhēngguāng			
jiāolǜ bù’ān			
zhòng suǒ zhōuzhī			
zǔguó tǒngyī dàyè			
yíhuā jiēmù			
tūfēi měngjìn			
qióngtú mòlù			
jiéwài shēngzhī			
jǐnluó mìgǔ			
fánróng chāngshèng			
jǔshì zhǔmù			
jǔzú qīngzhòng			
xíng zhī yǒuxiào			
pò zài méijié			
yáoyáo lǐngxiān			
yuǎnjìn wénmíng			
zūnjì shǒufǎ			
chángzhì jiǔ’ān			
fēngtiáo yǔshùn			
fēngyún biànhuàn			
sīkōng jiànguàn			
zhèngjù quèzáo			
shēngshì hàodà			
jiǎojìn nǎozhī			
bā jiǔ bùlí shí			
bāzì méi yìpiě			
ān dīngzi			
bájiān			
áidǎ			
ái bǎnzi			
bān jiùbīng			
bǎi wēifēng			
lǎo miànzi			
ái gùnzi			
yǒu ài miànzi			
ài yú miànzi			
Ā-Q xiàng			
Ā-Q jīngshen	Ā-Q jīngshén		
ái biānzi			
áipī			
áimà			
áizòu			
duān jiàzi			
bǎi kuòqi			
yìbǎ shǒu			
bùdǎo wēng			
bú xiànghuà			
bú duìtóu			
bù dǎjǐn			
bù jǐngqì			
bù xiānggān			
diū miànzi			
bǎohù sǎn			
dào kǔshuǐ			
chuánshēng tǒng			
chū nántí			
chūtóu niǎo			
dòng gānhuǒ			
bànjīn bāliǎng			
bànbiān tiān			
zhàn shàngfēng			
kǒutóu chán			
chī dàguō fàn			
chī guānsi			
tǔ kǔshuǐ			
chàng fǎndiào			
chàng duìtái xì			
wàikuài			
rúyì suànpán			
dǎohuǒ xiàn			
xiǎo dòngzuò			
bìhù suǒ			
chéng qìhou			
dǎ lěngqiāng			
dǎ hāha	dǎ hāhā		
dǎ tiānxià			
dǎ guānsi			
dǎ guānhuà			
dǎ xiǎo suànpán			
dǎ mēngùn			
dǎ gùnzi			
dǎ suànpán			
dǎ tuìtáng gǔ			
dǎ biāngǔ			
dǎ guānjié			
dǎ mǎhu yǎn			
chě hòutuǐ			
chěpí			
chāo xiǎolù			
bàotuán			
chāi qiángjiǎo			
wā qiángjiǎo			
pěngchǎng			
jiēbān rén			
dǎngjiàn pái			
cā pìgu			
qiāo biāngǔ			
wūtuō bāng			
báigǔ jīng			
bǐ gǎnzi			
bànjiǎo shí			
shuǎ wúlài			
shuǎ làipí			
bēi hēiguō			
bǔ lòudòng			
biànsè lóng			
zǒu xiàpō lù			
zǒu hòumén			
bìfēng gǎng			
kāi hòumén			
kāilù xiānfēng			
qíqiáng pài			
hēi míngdān			
chī páitóu			
chī yángfàn			
chī xiànchéng			
chuīniú dàwáng			
chàng hóngbái liǎn			
dà hóngrén			
chìbǎng yìngle			
chuǎng luànzi			
bùchéng qìhòu			
ài liǎnmiàn			
bǎi páichang			
bào dàtuǐ			
zuò bìshàng guān			
chě lànwū			
chāi táizi			
chǎngmiàn rén			
chuīniú jiā			
dǎ lǎohǔ			
guāng dǎléi, bú xiàyǔ			
bānqǐ shítou zá zìjǐ de jiǎo			
wéndǎn			
fēng mǎniú bù xiāngjí			
bú duìjìn			
jǐngqì			
bú rènzhàng			
fēng mǎniú bù xiānggān			
qiānjūn yífà zhī jì	qiānjūn yìfǎ zhī jì		
gūxī yǎngjiān	gūxí yǎngjiān		
yìzhī dúxiù			
bùfēn bǐcǐ			
bùkě nìzhuǎn			
bùgān rén hòu			
Zhōng-Xī hébì			
wèimín chúhài			
jǔshì wénmíng			
lè jí shēngbēi			
zhēngxiān kǒnghòu			
rénrén zhìshì			
yǐ qiáng língruò			
yǐfáng wànyī			
jiǎnyuán zēngxiào			
chū’ěr fǎn’ěr			
shìjūn lìdí			
huàwéi wūyǒu			
shíwàn huǒ jí			
tóngxīn xiélì			
hòufā zhìrén			
sìliǎng bō qiānjīn			
yīnshì lìdǎo			
kùnnan chóngchóng			
gùbù zì fēng			
guójì mínshēng			
jiānrèn bùbá			
dà zhāng qígǔ			
tiānxià dì yī			
zǐxū wūyǒu			
ānrán wúyàng 			
yínchī mǎoliáng			
xīn cún jiǎoxìng			
rěnqì tūn shēng			
suǒzuò suǒwéi			
wúlù kě zǒu			
bàoyǔ chéngzāi			
yǒutiáo bùwěn	yǒutiáo búwèn		
jīhuì jūnděng			
xīnxīn xiàng róng			
mínzhī míngāo	mínzhǐ míngāo		
yǒng chuí qīngshǐ			
hànmǎ gōngláo			
chénzhā fànqǐ			
Jīng Wèi fēnmíng			
kuánghōng lànzhà			
báizhǐ hēizì			
bǎinián búyù			
chēngbà shìjiè			
zhēngzhēng rì shàng			
fǎngpín wènkǔ			
bìzhòng jiùqīng			
mábì dàyi			
rénpǐn			
chāitái			
ēnrén			
liúyán fēiyǔ			
làipí			
nán chéng qìhou			
chībǎo le chēngde			
chībǎo le chēngzhe			
ràng rén dàdiē yǎnjìng			
ràng rén yǎnjìng dàdiē			
wéinán			
diāonàn	diāonán		
chūchǒu			
wúnài			
wúkě nàihé			
jídù			
chuǎnghuò			
dà chuī fǎluó			
chī xiànchéng fàn			
qīngmiáo dànxiě			
yǐnrén cāicè			
yǐn rén zhùmù			
chénmò yǐ duì			
qǐ ér dàizhī 			
zǒumǎ kànhuā			
bìjīng zhī lù			
zìwǒ gǎnjué liánghǎo			
tuìchū			
chètuì			
chèjūn			
guānyǐn			
yǐntóu			
xìngfú			
máfan	máfán		
yáoyán			
dǎohuǒ suǒ			
gěi miànzi			
xiāyǎn			
bù’ān hǎoxīn			
huīfù zhèngcháng			
shuāituì			
tàntīng			
dǎting			
kuītàn			
tōukuī	tōukuí		
yǒuqián			
pínqióng			
pínkùn			
fùwēng			
yǒuqián rén			
miànzi			
méi miànzi			
biǎotài			
pèifu			
jìngpèi			
chǎo			
yǒutiáo yǒulǐ			
luànjiǎng			
xìnkǒu cíhuáng			
yáochuán			
pìyáo			
dàotīng túshuō			
zàoyáo shēngshì			
chuányán			
liúyán			
xiǎodào xiāoxi			
bōnong shìfēi	bōnòng shìfēi		
fánrén			
tǎorén yàn			
chū luànzi			
hòuhuàn			
bùliú hòuhuàn			
máfan zhìzài zhě			
zhōngchǎn jiējí			
xiǎokāng shèhuì			
shìjǐng xiǎomín			
qióngrén			
qióngkǔ			
qióngkùn			
pínkǔ			
pínmín			
pínmín kū			
pínruò			
fùrén			
fùpó			
dàhēng			
jùshāng fùgǔ			
jùfù			
fùshāng			
bǎiwàn fùwēng			
xiǎokāi			
xīnfù			
xīnguì			
fùyǒu			
fùyù			
fùzú			
fù kě díguó			
fùde liúyóu			
jiācái wànguàn			
cáidà qìcū			
yíyè bàofù			
rónghuá fùguì			
fánróng			
jǐngqì bùjiā			
kuòlǎo			
xiǎnbǎi			
chāngshèng			
jǐngqì dīmí			
dīmí			
wángba dàn			
mínzú bàilèi			
yáng guǐzi			
jíshǒu			
tānwū			
zhuā xiǎo biànzi			
fǔshí rénxīn			
xínghuì			
shòuhuì			
huìkuǎn			
suǒhuì			
huìlù	huìluò		
sāi hóngbāo			
tānwū fǔbài			
fǔshí			
wéiguān qīngbái			
qīngbái wéiguān			
qīngguān			
liánjié zìlǜ			
gōngzhèng liánmíng			
guān běnwèi			
yí jiè bùqǔ			
zhīmá lǜdòu guān			
zhīmá guān			
dàguān			
gāoguān			
shēngguān			
shēngguān fācái			
tānzāng wǎngfǎ			
zāngwù			
zāngkuǎn			
huìxuǎn			
huìlù jīn	huìluò jīn		
màiguān yùjué			
sùtān			
hóngbāo			
shōuhuì			
shōushòu huìlù	shōushòu huìluò		
fǎn tānwū			
zuòdì fēnzāng			
bìjué fēngqīng			
chéngzhì fǔbài			
bàihuài			
fǔhuà			
tānwū fènzi			
tānwū zuì			
tānwū fǔhuà			
yōuxīn yǎnglián			
fǎn fǔbài yùndòng			
fǎn fǔbài dòuzhēng			
sīfǎ fǔbài			
duòluò fǔhuà			
xuéshù fǔbài			
wéiguān qīnglián			
fǔbài fènzi			
tānwū shèngxíng			
gāoxīn yǎnglián			
duòluò			
déle piányi hái màiguāi			
ài xiǎnbǎi			
xuànfù			
lā dàqí zuò hǔpí			
nòngqiǎo chéngzhuō	nòngqiǎo chéngzhuó		
zhèngzhì biǎotài			
xùnjié			
àoqì			
bǐmò guānsī			
zhīmíng dù			
ruòshì zúqún			
ruòzhě			
huǒ			
zhènyíng			
quànjiě			
jiànmín			
bì’àn			
ruǎnjìn			
jiànggāng wénhuà			
kěndìng			
fǎnpàn			
shuǎ tèquán			
dùncù			
dīdiào			
xùnhuà	xúnhuà		
xiémén wāidào			
féiquē			
yìng dàolǐ			
xùndào			
zìxiāng máodùn			
yóushui	yóushuǐ		
yángmáo chūzài yáng shēnshàng			
pínglín			
dù nánguān			
àixīn			
bànbì jiāngshān			
mínyuàn			
ruǎnhuà			
yǐnhuàn			
xiāotiáo			
quánlì yù			
mínglì yù			
bāo èrnǎi			
bāoyǎng qíngfù			
fùzhí			
dǎpò jièxiàn			
lǎodà			
gǔpái xiàoyìng			
tèquán			
jiāolǜ			
zīshēn			
fúdì			
kānshǒu zhèngfǔ			
wǎncí			
bǒyā zhèngfǔ			
hǎo qīfù			
zǒushì			
bǎinián shèngshì			
yíngnàn ér shàng			
dāngquán pài			
chéngzhì			
fǎnduì			
fǎnkàng			
dǎjī	dǎjí		
chōngzhuàng			
màofàn			
dézuì			
tǎoxīn bùchéng			
zhòngzhì chéng chéng			
dàomào ànrán			
yánzhèng			
yánchéng búdài			
qiángjiān mínyì			
shànbiàn			
gōngzuò zuòfēng			
miànzi huà			
miànzi shì			
ài yú qíngmiàn			
yǒu miànzi			
jiànbudé biérén hǎo			
zéi			
dījiàn jiējí			
zhéshè			
zhèngjì zhǔyì	zhèngjī zhǔyì		
zhīdào hángqíng			
yánmiàn sǎodì			
miànzi gōngchéng			
xíngxiàng gōngchéng			
zhèngjì gōngchéng	zhèngjī gōngchéng		
bǎoquán miànzi			
gùquán miànzi			
gù miànzi			
mòbukāi miànzi			
xíngshì zhǔyì			
biǎomiàn gōngfu			
biǎomiàn wénzhāng			
biǎomiàn			
jiānshǒu yuánzé			
jiānchí yuánzé			
xīshēng yuánzé			
rén běnwèi			
yìshi	yìshì		
dǔbó			
dǔ			
xūxīn qiújiào			
xūxīn shòujiào			
cóngjiàn rú liú			
guǎng nà yǎyán			
tāoguāng yǎnghuì			
zuǒyòu			
zhāoqì péngbó			
yǒu fúqì			
bìng rù gāohuāng			
bìngjí luàn tóuyī			
xiànshí			
tóujī			
nǚ yīngxióng			
hàipà			
pà			
zhěngrén			
zhēngzhào			
nìlái shùnshòu			
xìng sāoráo			
guǎqíng bóyì			
màohé shénlí			
guānyùn			
guānyùn hēngtōng			
jìn chányán			
fēndào yángbiāo			
jīnwū cángjiāo			
róulìn			
gōngrèn de shìshí			
kěxiào			
dāndāng			
méi dāndāng			
qián pàhǔ hòu pàláng			
hēisè yōumò			
qīlíng			
nüèdài			
nüèshā			
nüèzhèng			
zuòwēi zuòfú			
qīshàn pà’è			
shìlì zhī jiāo			
tóujī fènzi			
tóujī zhǔyì			
sèdǎn bāotiān			
xiāoyǒng shànzhàn			
tíxīn diàodiǎn			
wèijù			
méi jiānbang			
jiùmìng ēnrén			
gǎn nù bùgǎn yán			
lǒngduàn			
liàng			
zhòngnán qīngnǚ			
zhònglì qīngyì			
qízai … tóushang			
xīng wénzì yù			
tóujī xīnlǐ			
shìduān			
réncái			
qīnlüè			
dàoxíng nìshī			
jiǎgōng jìsī			
wěidà			
zuòzéi xīnxū			
nèimù			
nèiyōu wàihuàn			
lìyù xūnxīn			
láomín shāngcái			
shì rú pòzhú			
gōuxīn dòujiǎo			
bāobì			
nányuán běizhé	nányuán běichè		
juǎntǔ chónglái			
yǒuhǎo			
kěwù			
kěgē kěqì			
tóngchóu díkài			
hánshā shèyǐng			
sìfēn wǔliè			
tuánjié			
zuò xiǎng qíchéng			
dàsì			
shīzhí			
qíjì	qíjī		
wēibī			
wánměi			
fùbì			
àidài			
shǒuduàn			
bàofù			
bàifǎng			
zhǐshǒu huàjiǎo			
hànwèi			
yōngdài			
cāozòng			
bàilù	bàilòu		
qiāozhà			
rìxīn yuèyì			
zhūlián			
héngxíng			
qìyàn			
yǒng chuí bùxiǔ			
rèhuǒ cháotiān			
jiǎohuá			
wánhuǒ zì fén			
mángmù			
zhòngpàn qīnlí			
zòngróng			
lǎojiān jùhuá			
zìháo			
xīngwàng			
wǔbì			
zhùmíng			
biǎozhāng			
biǎoyáng			
biànběn jiālì			
shēnbài míngliè			
hōnghōng lièliè			
yīnmóu			
diānfù			
lìng rén bùchǐ			
zìliàn			
gōngrán			
jūgōng			
shìchǒng ér jiāo			
xuébà			
pòhài			
zhémo	zhémó		
xiā zhēteng gōngchéng			
yìngbiàn			
gōng yú xīnjì			
yǒu xīnjì			
méi xīnjì			
háomén			
dúcái zhèngzhì			
shàn zuò zhǔzhāng			
hūyou	hūyōu		
hǔrén			
zhàhǔ			
zhàshù			
piànshù			
shòupiàn			
shàngdàng			
shuǎ jìliang			
wán jìliang			
wán bǎxì			
shuǎ bǎxì			
guǐ bǎxì			
dàshí huà			
mēng			
lǐlùn piànzi			
wán māonì			
bù hǎorě			
gūxī	gūxí		
bùsān búsì			
bùjiǎng yuánzé			
wǒxíng wǒsù			
chōng ěr bùwén			
yǒushàn			
zhèngyǒu			
quánbiàn			
yǒu zhìqì			
zhēng yìkǒu qì			
yìfèn tiányīng			
yìfèn			
yìfèn jī’áng			
nùqì chōngchōng			
mínyuàn fèiténg			
mínyuàn dǐngfèi			
bàotiào rúléi			
bùmǎn			
mòluò			
zài qìtóu shang			
nǎoxiū chéngnù			
tònghèn			
píngxī			
qìfèn			
fènnù			
nùhuǒ			
zhèngcháng			
sìnüè			
zhèngmiàn			
lǎodiào chóng tán			
chóng tán jiùdiào			
chóng tán lǎodiào			
yīngwǔ xuéshé			
quēfá zhǔjiàn			
yǒu zhǔjiàn			
dúlì sīkǎo			
dīdiào zuòrén			
fānù			
zhèngmiàn huídá			
zhí bèn zhǔtí	zhí bēn zhǔtí		
guānshāng guàgōu			
tiāocuò			
gāo biāozhǔn, yán yāoqiú			
fǎn shèhuì			
biànhuà duōduān			
fènshì jísú			
wēiyán sǒngtīng			
wánměi zhǔyì			
wánměi zhǔyi zhě			
mòxǔ			
chīlì			
qiángdiào			
háo bù hánhu	háo bù hánhú		
dàowèi			
shuōhuà duǒduǒ shǎnshǎn			
fǎngmào pǐn			
shānzhài			
yángrén			
lǎowài			
wàiguó lǎo			
bǎochí yōushì			
yǐ … wéiróng			
xīqǔ jiàoxùn			
détǐ			
jiǎobiàn			
búfù zérèn			
bùgǎn gōngwei			
wúfǎ gōngwei			
zìyóu			
dāng huíshì			
dàngzhēn	dāngzhēn		
lěngjìng			
huàwài zhī mín			
yǒuliǎn …			
ànzhōng shǐhuài			
shǐhuài			
mínglì xīn zhòng			
mínglì yù zhòng			
mínglì yù qiáng			
mínglì xīn qiáng			
zhuīmíng zhúlì			
méi dàoli	méi dàolǐ		
yǒu dàoli	yǒu dàolǐ		
dǐxiàn			
guóchǐ			
bǎinián guóchǐ			
àiguó			
àiguó zhǔyì			
àiguó qínghuái			
àiguó xīn			
suíjìng zhèngcè	suījìng zhèngcè		
suíjìng zhǔyì	suījìng zhǔyì		
bùpíng zhī míng			
míng bùpíng			
rěrén yàn			
zǒu guòchǎng			
chùsheng			
bùkě sīyì			
bú zhèngcháng			
shāshǒu			
wàng			
zhíyè xuésheng	zhíyè xuéshēng		
míng bùfú shí			
míng búfù shí			
qiúfàn			
chéngfá			
dírén			
shīxìn yú mín			
tiǎn pìyǎn			
gǎn’ēn dàidé			
jiāchí			
